id;nombre;apellido;email;numero_licencia;especialidad;tarifa_consulta;keycloak_id;activo
1;wasteful so;ack depot;Leticia97@hotmail.com;left majority nervous;PEDIATRIA;32583.17;if even internal;true
2;given;nor;Marta5@gmail.com;tectonics among blah;ODONTOLOGIA;28375.97;likewise reproachfully;true
3;reboot;transplant daintily tricky;Gabriela_OrellanaOcampo39@hotmail.com;hmph;PSIQUIATRIA;21313.83;sediment thongs maintainer;false
4;diligent collaborate;wetly;Gilberto38@hotmail.com;before;CARDIOLOGIA;12821.65;pfft boo place;false
5;supposing kissingly;carelessly likely elegant;Patricio.BlancoEchevarria5@hotmail.com;stranger upon;PSIQUIATRIA;19237.67;near growing;false
6;sleepily for of;till;Sara.NaranjoAgosto@hotmail.com;ethyl crank rule;DERMATOLOGIA;31285.51;tail;true
7;ick;well-groomed since;JoseLuis95@yahoo.com;sticker anenst;CARDIOLOGIA;14386.95;oof;false
8;bashfully mortally brr;a;Rosalia.EscobedoFonseca93@yahoo.com;back lobster correctly;DERMATOLOGIA;9024.6;oxidize pinion;true
9;likely muddy;whereas;Carles.RoybalGranado7@gmail.com;into;NEUROLOGIA;25354.41;obvious pleasing monthly;false
10;whether;familiarize ferret;Cristobal.GranadosCano54@hotmail.com;which rue wrong;ODONTOLOGIA;21450.49;and usher search;false
