id;nombre;apellido;cedula;email;telefono;fecha_nacimiento;genero;keycloak_id;activo
1;fast toward;customise;reprimand dead;Cristina10@gmail.com;reproachfully wherever gosh;2026-01-14;FEMENINO;hydrant other;true
2;zowie;yuck unto;devise best-seller;Ines.VillalobosMadera@yahoo.com;cautiously density;2026-01-14;FEMENINO;grim until;false
3;why quizzically;lavish;meh doting;Timoteo25@yahoo.com;sudden aside;2026-01-15;MASCULINO;short-term stiffen drat;false
4;waltz positively brr;oddly;scrabble;Miguel.PorrasQuinonez68@gmail.com;whenever;2026-01-14;FEMENINO;energetically;true
5;stack about;or underneath;nor meh sweetly;Gloria.MaestasSantillan85@gmail.com;mixed midst;2026-01-14;MASCULINO;simple;true
6;prejudge;stiff rival;anenst beloved;Gregorio_OrnelasBarragan@yahoo.com;worriedly minus;2026-01-15;FEMENINO;shampoo gadzooks eek;false
7;starch beep duh;ick;colonialism duh ugh;Anni_LuceroOlvera79@gmail.com;everlasting;2026-01-15;MASCULINO;between wholly gosh;true
8;fuss unexpectedly that;ravioli pale;when worth uniform;Luz_PosadaOlivares6@gmail.com;for airbrush warlike;2026-01-15;FEMENINO;reassemble;true
9;desecrate uh-huh;inasmuch;immediately;Mariana.LongoriaGomez92@hotmail.com;faint character ultimate;2026-01-15;FEMENINO;unlike what deliberately;true
10;which than lawful;sociable ravage beneath;thrifty;Maria0@gmail.com;shakily yahoo finally;2026-01-14;FEMENINO;throughout oof;true
